Title,Director,Cast,Year,Language,url,Producer,Genre,production,music,ref
Sati Sulochana,Y. V. Rao,"R. Nagendra Rao, Tripuramba, Subbaiah Naidu, Lakshmi Bai, C. T. Sheshachalam",1934,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1930s,Chamanlal Doongaji,,,R. Nagendra Rao H. R. Padmanabha Shastry,
Bhakta Dhruva,Parshwanatha Altekar,"Master Muthu, G. Nagesha Rao, T. Kanakalakshmamma, H. S. Krishnaswamy Iyengar",1934,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1930s,U. L. Narayana Rao,,,Harmonium Sheshagirirao,
Sadaarame,Raja Chandrashekar,"Gubbi Veeranna, K.Ashwathamma, Muraaraachaar, Shakunthala, Swaranamma",1935,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1930s,Gubbi Veeranna,,,Venkataramaiah (Papanna),
Samsara Nauka,H. L. N. Simha,"B. R. Panthulu, M. V. Rajamma, S. K. Padma Devi, M. S. Madhava Rao, Dikki Madhava Rao",1936,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1930s,K. Nanjappa,,,M. Madhavarao,
Chiranjeevi,K. P. Bhave,"Devudu Narasimha Sastri, Sharada, Master Narayan, Malavalli Sundaramma, Basavaraju Mansoor, R. S. Murthy, Amirbai Karnataki",1936,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1930s,,,,Harmonium Sheshagirirao,
Purandaradasa,B. Chawan,"G. Krishnaswamy Iyengar, Tripuraamba, J. T. Balakrishnarao,",1937,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1930s,,,,,
Rajasuya Yaaga,T.Dwarakanath,"S. R. Vasudevarao, T. K. Ramamurhty, K. R. Seetharam, T. Jayamma, T. Chandrashekar, Saroja",1937,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1930s,,,,Padmanabha Shashtri,
Subhadra [1],,"Gubbi Veeranna, Honnappa Bhagavathar, B. Jayamma, Vasudeva Girimaji, B. Raghavendra Rao",1941,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1940s,,,"Veeranna, Aacharya",,
Vasantasena [2],,"Lakshmi Bai, Subbaiah Naidu, R. Nagendra Rao, Kamala Bai, P. Kalinga Rao, Padma Devi",1941,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1940s,,,Pragathi Pictures,,
Bhakta Prahalada [3],,"M. V. Rajamma, Chandramma, A.N. Sheshachar",1942,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1940s,,,Kalaivani Films,,
Jeevana Nataka [4],,"Gubbi Veeranna, Kemparaj Urs, B. Jayamma, Shantha Hublikar",1942,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1940s,,,Gubbi & C S Films,,
Satya Harishchandra [5][6],,"Subbaiah Naidu, R. Nagendra Rao, Lakshmibai, J. V. Krishnamurthy Rao, M. G. Marirao",1943,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1940s,,,Saraswathi Cine Film Laboratory Ltd SSS Nataka Mandali,,
Krishna Sudhaama [7],,"Bellave Narahari Sastry, S. D. Subbulakshmi",1943,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1940s,,,Kalaivani Films,,
Vani [8],,"Tirumakudalu Chowdiah, Bellary Lalitha, Pandari Bai, Bellary Rathnamala, Musuri Krishnamurthy, K. V. Achutharao, K. Hirannaiah",1944,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1940s,,,HRGC Sri Pictures,,
Radha Ramana [9],,"B. R. Panthulu, M. V. Rajamma, G. V. Iyer, Balakrishna, Bhanumathi, Srinivasarao",1944,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1940s,,,Sri Vijaya Films,,
Hemareddy Mallamma [10],,"Gubbi Veeranna, Honnappa Bhagavathar, C. B. Mallappa, B. Jayamma, Ku. Ra. Seetharama Sastry",1946,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1940s,,,Gubbi Sri Chennabasaveshwara Films,,
Chandrahasa [11],,"Handiganoor Siddaramappa, Amirbai Karnataki, Vikas, B. Sharada",1947,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1940s,,,Pampa Pictures,,
Krishnaleela [12],,"Kemparaj Urs, Marirao, Usha, Bellary Lalitha, Rathnamala, Nagarathna",1947,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1940s,,,Mahatma Pictures,,
Mahananda [13],,"Kemparaj Urs, Sumathi, Kashinath, Vedaantham, Padmanabhan, Rajakumari, Prathimadevi",1947,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1940s,,,"Thriveni Films, Nehru Pictures",,
Mahathma Kabir [14],,"Subbaiah Naidu, R. Nagendra Rao, Lakshmibai, Kamalabai",1947,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1940s,,,"Ganesh Pictures, Pragathi Pictures",,
Rajasuya Yaga [15],,"K. R. Seetharam, K. V. Achyutha Rao, T. Jayamma, T. Chandrashekar",1947,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1940s,,,Maskat Pictures,,
Bhakta Ramdas,,"Kemparaj Urs, Vimalananda Das, Sumathi",1948,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1940s,,,Mahatma Pictures,,
Bhakta Kumbara [16],,"Honnappa Bhagavathar, Lakshimibai, Vimalanandadas, Pandari Bai",1948,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1940s,,,Surabhi Pictures,,
Bharathi [17],,"Tanguturi Suryakumari, Sampath, M. V. Krishnaswamy",1948,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1940s,,,Raghavendra Pictures,,
Dasara [18],,"Shridhar, Saraswathi, Leela, K S Simha",1949,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1940s,,,Shanthiram Productions,,
Kalaavida [19],,"B. Sohanlal, Kantha, Shantha",1949,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1940s,,,Viswakalaasthan Production,,
Nagakannika [20],,"Jayashri, Bellary Rathnamala, B. Raghavendrarao, S. M. Veerabadrappa, U. Mahabalarao",1949,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1940s,,,Mahatma Pictures,,
Sathi Thulasi [21],,"Vimalananda Das, Sushiladevi",1949,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1940s,,,Iyengar Productions,,
Shaneeshwara Mahatme,Kempraj Urs,"Kemparaj Urs, M. V. Rajamma, Pandari Bai, B. Jayamma, M. S. Subanna",1950,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,S. Rajam,
Shiva Parvathi,T. Janakiram,"Kemparaj Urs, Sumathi, Kashinath, Prathima Devi, Shantha",1950,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,Hunsur Krishnamurthy,,,B. Dayanidhi,
Jaganmohini,D. Shankar Singh,"Harini, Prathima Devi, Jayashri, Srinivasarao, Mahabalarao, Makeup Subanna",1951,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,P. Shyamanna,
Thilothamme,R. M. Veerabadraiah,"Veerbadrappa, Jayashri, G. R. Saindo",1951,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,,
Sri Srinivasa Kalyana,D. Shankar Singh B. Vittalacharya,"Vimalananda Das, Prathima Devi, Rajkumar, M N Lakshmi",1952,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,D. Shankar Singh B. Vittalacharya,,,P. Shyamanna,
Chanchal Kumari,D. Shankar Singh,"Indu Shekar, Prathima Devi, Rajendra Singh Babu",1953,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,P. Shyamanna,
Dalalli,D. Shankar Singh,"Sampath, Subbanna, Harini, Balakrishna, Mahabalarao",1953,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,P. Shyamanna,
Jathaka Phala,R. Nagendra Rao,"Nagendra, Sarangapaani, T. K. Balachandran, Suryakala, Kamalabai",1953,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,R. Govardhanam,
Gunasagari,H. L. N. Simha,"Honnappa Bhagavathar, Pandari Bai, Gubbi Veeranna, T. S. Balaiah, B. Jayamma, K. Kumari",1953,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,"Gubbi Veeranna, C. R. Basavaraju",,,R. Sudharsanam,
Mangala Gowri,T. R. Sundaram,"Indu Shekar, Harini",1953,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,,
Srikrishna,C. V. Raju,"Kemparaj Urs, Marirai, Usha Bellar Lalitha, Rathnamala, Nagarathna",1953,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,,
Sowbhagya Lakshmi,B. Vittalacharya,"Harini, Indu Shekar, Balakrishna, M. N. Lakshmi Devi",1953,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,B. Vittalacharya,,,Rajan–Nagendra,
Bedara Kannappa,H. L. N. Simha,"Rajkumar, Pandari Bai, Rajasulochana, G. V. Iyer, T. R. Narasimharaju, H. R. Shasthry",1954,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,R. Sudharsanam,
Devakannikaa,B. R. Rao,"Indu Shekar, Sowcar Janaki, Balakrishna",1954,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,,
Kanyadana,B. Vittalacharya,"Harini, Balakrishna, Indushekar",1954,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,,
Jaladurga,Kempraju Urs,"Kemparaj Urs, Krishnakumari, B. R. Panthulu, Jayalakshmi",1954,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,,
Madiddunnu Maharaya,D. Shankar Singh,"Hunsur Krishnamurthy, Harini, Prathima, Revathi, Sampath",1954,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,,
Muttidella Chinna,D. Shankar Singh,"Balakrishna, Harini, Prathima Devi",1954,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,,
Natasekhara,C. V. Raju,"Kalyan Kumar, Vidya, Sandhya, Jayasree, G. Goggu",1954,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,M. Venkataraju,
Rajalakshmi,B. Vittalacharya,"Sampath, Revathy",1954,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,,
Aadarsha Sathi,Chitrapu Narayana Murthy,"R. Nagendra Rao, Jamuna, Sowcar Janaki, T. R. Narasimharaju",1955,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,"R. Sudarsanam, R. Govardhanam",
Aashadaboothi,D. Shankar Singh,"B. Saroja Devi, Sampath, Balakrishna",1955,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,P. Shyamanna,
Bhakta Mallikarjuna,C. V. Raju,"T. R. Narasimharaju, Pandari Bai, Amarnath, G. V. Iyer, Balakrishna",1955,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,C. N. Pandurangan,
Gandarva Kanya,D. Shankar Singh,"Rajasulochana, Revathi, Harini, Indushekar, Veerabadrappa, Rajendra Singh Babu",1955,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,P. Shyamanna,
Mahakavi Kalidasa,K. R. Seetharama Sastry,"Honnappa Bhagavathar, G. V. Iyer, B. Saroja Devi, Raghavendra Rao, T. R. Narasimharaju",1955,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,C. Honnappa Bhagavathar,
Modala Thedi,P. Neelakantan,"B. R. Panthulu, M. V. Rajamma, M. Mahadavarao, Master Hirannaiah, C. Sadashivaiah, Sivaji Ganesan",1955,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,T. G. Lingappa,
Santhasakku,Krishnan–Panju,"B. Hanumanthachar, Pandari Bai, Vimalanandadas, M. Prabhakar, Annapoorna",1955,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,G. Govindarajulu Naidu,
Shivasharane Nambiyakka,D. Shankar Singh,"K. S. Ashwath, Prathima, Balakrishna, Babu",1955,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,P. Shyamanna,
Shivasharane Nambekka,P. Neelakantan,"M. V. Rajamma, B. R. Panthulu, Dikki Madhava Rao, Revathi",1955,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,T. G. Lingappa,
Sodari,T. V. Singh Tagore,"Rajkumar, Pandari Bai, Jayasri, Raghavendrarao, G. V. Iyer, K. S. Ashwath, Sandhya, N. S. Krishnan, Kowshik, Vidya",1955,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,"H. R. Padmanabha Sasthri, G. K. Venkatesh, P. Srinivas Iyengar",
Srirama Pooja,B. R. Krishnamurthy,"Sandhya, B. Saroja Devi, Rajendra Krishna, B. K. Eshwarappa",1955,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,Vijaya Bhaskar,
Stree Rathna,K. Subramaniyam,"K. S. Ashwath, Sandhya, N. S. Krishnan, Kowshik, Vidya",1955,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,Srinivas Iyengar,
Vichitra Prapancha,Baalagajaber,"Harini, Vasudeva Girimaji, Indushekar, Shanthakumar, Soorat Ashwath",1955,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,S. Purshothaam,
Bhagyachakra,Y. V. Rao,"Kalyan Kumar, Sowkar Janaki",1956,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,Vijaya Bhaskar,
Bhagyodaya,P. V. Babu,"Udayakumar, Kowshik, T. R. Narasimharaju",1956,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,L. Malleshwara Rao,
Bhakta Markandeya,B. S. Ranga,"R. Nagendra Rao, Nagaiah, Pushpavalli, T. R. Narasimharaju, Ramadevi, Padmini Priyadarshini",1956,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,Viswanathan–Ramamoorthy,
Bhakta Vijaya,Aaruru Pattabhi,"Rajkumar, Mynavathi, Pandari Bai",1956,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,Shyam-Aathmanath,
Daiva Sankalpa,M. B. Ganesh,"Udayakumar, Balakrishna, Master Hirannaiah, Rajakumari, H. P. Saroja, Lakshmidevi",1956,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,P. Shyamanna,
Hari Bhakta,T. V. Singh Tagore,"Rajkumar, Pandari Bai, Mynavathi, T. R. Narasimharaju, G. V. Iyer, H. R. Shastry",1956,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,G. K. Venkatesh,
Kacha Devayani,K. Subramaniyam,"K. S. Ashwath, B. Saroja Devi",1956,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,"Pandu, Meenakshi Subramanyam",
Kokilavaani,Natarajan,"K. S. Ashwath, B. Saroja Devi, Musurikrishnamurthy",1956,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,G. Ramanathan,
Mutthaide Bhagya,B. Vittalacharya,"Hunsur Krishnamurthy, Kalyan Kumar, Mynavathi, Balakrishna, Master Hirannaiah, Revathi, Jayasri",1956,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,Rajan–Nagendra,
Ohileshwara,T. V. Singh Tagore,"Rajkumar, Kalyan Kumar, T. R. Narasimharaju, H. R. Shastri, Pandari Bai, Sriranjini, G. V. Iyer, Meenakshi",1956,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,G. K. Venkatesh,
Pancharathna,"K. Vembu, KCK","Honnappa Bhagavathar, B. Saroja Devi, Balakrishna, T. R. Narasimharaju, Udayakumar",1956,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,C. Honnappa Bhagavathar,
Renuka Mahatme,Y. R. Swamy,"R. Nagendra Rao, Pandari Bai, T. R. Narasimharaju",1956,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,H. R. Padmanabha Sashtri,
Sadaarame,K. R. Seetharama Sastry,"Gubbi Veeranna, T. R. Narasimharaju, Kalyan Kumar, Kowshik, G. V. Iyer, Balakrishna, Sowcar Janaki",1956,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,"R. Sudharsanam, R. Govardhanam",
Bettada Kalla,S. M. Sriramulu Naidu,"Kalyan Kumar, Mynavathi, R. Nagendra Rao, Uday Kumar, Ramadevi",1957,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,S. M. Subbaiah Naidu,
Chintamani,Kotnies,"K. S. Ashwath, B. Saroja Devi, T. R. Narasimharaju",1957,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,,
Mahiravana,G. Nataraj,"R. Nagendra Rao, Kantharao, Balakrishna, Meenakshi",1957,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,,
Naladamayanthi,Kempraj Urs,"Kempraj Urs, Ganapathi Bhatt, P. Bhanumathi, T. R. Narasimharaju",1957,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,B. Gopalam,
Prabhulinga Leele,Sri. Manjunatha,"Prathima Devi, T. R. Narasimharaju, Harini, K. S. Ashwath",1957,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,P. Shyamanna,
Premada Putri,R. Nagendra Rao,"R. Nagendra Rao, Kalyan Kumar, Udaykumar, Sandhya, Sriranjini, Suryakala",1957,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,"H. R. Padmanabha Sasthri, Vijaya Bhaskar",
Rathnagiri Rahasya,B. R. Panthulu,"Udaykumar, Jamuna, T. R. Ramachandran, B. R. Panthulu, M. V. Rajamma",1957,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,T. G. Lingappa,
Rayara Sose,"R. Ramamurthy, K. S. Murthy","Rajkumar, Pandari Bai, Kalyan Kumar, Mynavathi",1957,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,R. Dewakara,
Sati Nalaayini,T. R. S. Gopu,"Rajkumar, Pandari Bai",1957,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,,
Shukradese,Aaruru Pattabhi,"Balakrishna, Adavaani, Lakshmidevi, Suryakala, Ramadevi",1957,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,T. A. Kalyanam,
Varadakshine,Chandra Mohan,"Udaykumar, Suryakala, T. R. Narasimharaju",1957,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,P. Shyamanna,
Anna Thangi,Ku. Ra. C. Shastri,"Rajkumar, B. Saroja Devi, Balakrishna, Eshwarappa, Jayamma, Vidhya, K. S. Ashwath, T. R. Narasimharaju",1958,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,,
Bhakta Prahlada,"M. S. Subbiaha Naidu, H. S. Krishnaswamy","Subbiaha Naidu, Udaykumar, K. S. Ashwath, Master. Lokesh, Leelavathi, Lakshmi Bhai",1958,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,,
Bhookailasa,K. Shankar,"Rajkumar, Kalyan Kumar, Jamuna, B. Saroja Devi, K. S. Ashwath",1958,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,"R. Sudharsanam, R. Govardhanam",
Mane Thumbida Hennu,B. V. Acharya,"Udaykumar, Advani Lakshmi Devi, Lalitha Rao, Balakrishna, T. R. Narasimharaju",1958,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,,
Mangalya Yoga,P. K. Lal,"Leelavathi, Balakrishna",1958,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,,
School Master,B. R. Panthulu,"B. R. Panthulu, M. V. Rajamma, Udayakumar, Sowcar Janaki, B. Saroja Devi",1958,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,T. G. Lingappa,
Shree Krishna Gaarudi,Hunsur Krishnamurthy,"Rajkumar, Sidhia Swamy, Suryakala, Revathi, T. R. Narasimharaju",1958,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,,
Abba Aa Hudugi,H. L. N. Simha,"Rajkumar, Pandari Bai, Mynavathi, Rajashankar, B. R. Panthulu, M. V. Rajamma, T. R. Narasimharaju",1959,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,,
Dharma Vijaya,N. Jaganath,"Rajkumar, Leelavathi, Harini, T. R. Narasimharaju, Varadappa",1959,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,,
Jagajyothi Basveshwara,T. V. Singh Tagore,"Rajkumar, Honnappa Bhagavathar, Sandhya, B. Saroja Devi, Leelavathi, Balakrishna, Iyer",1959,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,,
Mahishasura Mardini,B. S. Ranga,"Rajkumar, Udaykumar, Sowcar Janaki, T. R. Narasimharaju, Sandhya, K. S. Ashwath, Ganapahti Bhat",1959,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,,
Manege Banda Mahalakshmi,"B. V. Acharya, Govindhiah","Kalyan Kumar, Revathi, K. S. Ashwath",1959,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,,
Mangala Suthra,Chandra Mohan,"Surya Kala, Balakrishna, Advani Lakshmidevi, Prathima Bhagwan",1959,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1950s,,,,,
Shivalinga Sakshi (ಶಿವಲಿಂಗ ಸಾಕ್ಷಿ),D. Shankar Singh,"K. S. Ashwath, Prathima Devi, Udayakumar",1960,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_1960,D. Shankar Singh,,,P Shyamanna,
Ranadheera Kanteerava (ರಣಧೀರ ಕಂಠೀರವ),N. C. Rajan,"Rajkumar, Udaykumar, Leelavathi, Veerabhadrappa, Sandhya, Narasimharaju, Balakrishna, K. S. Ashwath, R. Nagendra Rao",1960,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_1960,Rajkumar G. V. Iyer Narasimharaju Balakrishna,,,G. K. Venkatesh,
Rani Honnamma (ರಾಣಿ ಹೊನ್ನಮ್ಮ),K. R. Seetharama Sastry,"Rajkumar, Leelavathi, Lalitharao, Balakrishna, Narasimharaju, Shivajirao, G. V. Iyer",1960,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_1960,T. S. Karibasayya,,,Vijaya Bhaskar,
Makkala Rajya (ಮಕ್ಕಳ ರಾಜ್ಯ),B.R.Panthulu,"Sivaji Ganesan, Balakrishna, M. V. Rajamma, M. S. Umesh, M.N Lakshmi Devi, Narasimharaju, B. R. Panthulu",1960,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_1960,B. R. Panthulu,,,T. G. Lingappa,
Aasha Sundari (ಆಶಾಸುಂದರಿ),Hunsur Krishnamurthy,"Rajkumar, Harini, Krishnakumari, Lakshmi Devi, Shivashankar, Narasimharaju",1960,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_1960,S. Bhavanarayana,,,Susarla Dakshinamurthi,
Dashavathara (ದಶಾವತಾರ),P. G. Mohan,"Rajkumar, Udaya Kumar, Krishnakumari, Leelavathi, Narasimharaju",1960,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_1960,B. S. Ranga,,,G. K. Venkatesh,
Bhakta Kanakadasa (ಭಕ್ತ ಕನಕದಾಸ) ‡,Y. R. Swamy,"Rajkumar, Udaya Kumar, Krishnakumari, H.R. Shashtri, K. S. Ashwath",1960,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_1960,D. R. Naidu,,,M. Venkataraju,
Bhakta Chetha,M. B. Ganesh,"Rajkumar, Prathima Devi, Balakrishna",1961,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_1961,D. Shankar Singh,,,Srinivasa Iyengar,
Kaiwara Mahathme,T. V. Singh Thakur,"Rajkumar, Leelavathi, G. V. Iyer, Balakrishna, Narasimharaju",1961,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_1961,Kaivara Films Limited,,,G. K. Venkatesh,
Kantheredu Nodu,T. V. Singh Thakur,"Rajkumar, Leelavathi, Balakrishna",1961,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_1961,A. K. Velan,,,G. K. Venkatesh,
Kittur Chennamma ‡,B. R. Panthulu,"Rajkumar, B. Saroja Devi, Leelavathi",1961,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_1961,B. R. Panthulu,,,T. G. Lingappa,
Nagarjuna,Y. V. Rao,"Rajkumar, G. Varalakshmi, Harini, V. Nagayya, K. S. Ashwath, Narasimharaju",1961,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_1961,K. N. Mallikarjuna,,,Rajan–Nagendra,
Raja Satyavrata,D. Shankar Singh,"Udaya Kumar, Balakrishna, Dikki Madhava Rao",1961,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_1961,N. B. Vatsalan,,,M.Venkataraju,
Shri Shaila Mahathme,Aaruru Pattabhi,"Rajkumar, Dikki Madhava Rao, Sandhya",1961,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_1961,N. Talikerappa,,,T. A. Kalyanam,
Vijayanagarada Veeraputhra,R. Nagendra Rao,"R. Nagendra Rao, R. N. Sudarshan, B. Saroja Devi, Kalyan Kumar, Udaya Kumar, Sandhya, Balakrishna, Narasimharaju",1961,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_1961,R. Nagendra Rao,,,Viswanathan–Ramamoorthy,
Bhoodana,G. V. Iyer,"Rajkumar, Kalyan Kumar, Leelavathi",1962,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_1962,P. N. Gopalakrishna,,,G. K. Venkatesh,
Daiva Leele,C. S. Krishna,"Kalyan Kumar, Balakrishna, Sowkar Janaki",1962,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_1962,R. T. Arasu,,,B. M. S. Murthy,
Devasundari,C. V. Raju,"Rajkumar, Kalyan Kumar, B. Sarojadevi",1962,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_1962,M. H. M. Munaas,,,C. N. Pandurangan,
