Title,Director,Cast,Year,Language,url,Producer,Genre,production,music,release,ref
Kalidas,H. M. Reddy,"T. P. Rajalakshmi, P. G. Venkatesan, L. V. Prasad",1931,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,Ardeshir Irani,Madhurakavi Bhaskara Das,,
Harichandra (Sampoorna Harichandra),"Sarvottam Badami, T. C. Vadivelu Naicker","V. S Sunderasa Iyer, D. R. Muthulakshmi, T. P. Rajalakshmi",1932,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,Sagar Film Company Chimanlal Desai,Raja Chandrasekar,,
Kalava (Galavarishi),P. B. Rangachari,"P. B. Rangachari, V. S. Sunderasa Iyer, T. R. Muthulakshmi",1932,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,Sagar Film Company,G. Sundara Bhagavathar,,
Paarijaatha Pushpaha ragam,P. K. Raja Sandow,"R. Nagendra Rao, K. T. Rukmani, Leela, Narasmimma Rao",1932,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,Imperial Film Company,,,
Ramayanam,,"T. P. Rajalakshmi, T. S. Mani",1932,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,East India Film Company,,,
Kovalan,,"R. Nagendra Rao, T. P. Rajalakshmi, K. T. Rukmani, Leela",1933,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,Imperial Films,,,
Nanthanar,,"Subbaiah Thevar, Angamuthu",1933,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,New Theatres,,,
Prahalada_(film),,,1933,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,"New Theatres, East India Company",,,
Satyavan_Savithri,,"M. R. Krishnamurthi, T. S. Mani, T. P. Rajalakshmi",1933,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,,,,
Valli,P.V. Rao,"T. S. Santhanam, Pankajam",1933,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,National Movietone,,,
Valli Thirumanam,P. V. Rao,"C. M. Duraisamy, T. V. Sundaram, T. P. Rajalakshmi",1933,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,Pioneer Films Samikannu Vincent,Lyricist: Baskaradas,,
Bama Vijayam,Manik Lal Tandon,"M. R. Krishhnamurthi, G. N. Balasubramaniam, P. S. Rathna Bai, P. S. Saraswathi Bai, M. S. Murugesan, K. S. Angamuthu",1934,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,Pioneer Films,K. Tyagaraja Desigar,,
Dasavathaaram,,"Saradamal, Mani",1934,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,Jayavani Film Company,,,
Draupadhi Vastrapaharanam,R. Padmanaban,"V. A. Chellappa, T. S. Vasudeva Pillai, C. S. Ramanna, C. V. V. Panthulu, T. P. Rajalakshmi, P. S. Sivabagyam",1934,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,Angel Films,,,
Draupadhi Vastrapaharanam,R. Prakash,"T. S. Sandhanam, K. R. Saradhambal P.S. Srinivasa Rao, Sirukalathur Sama T. S. Krishnaveni",1934,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,"A. Narayanan, Sreenivas Cinetone",,,
Pavalakkodi,K. Subramanyam,"M. K. Thyagaraja Bhagavathar, S. D. Subbulakshmi, Sundarambal, S. S. Mani Bhagavathar",1934,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,"Al. Rm. Alagappa Chettiar, Meenakshi Cinetone",Papanasam Sivan,,
Sakkubai,Sundar Rao Nadkarni,"Madurai Asari, K. R. Saradhambal",1934,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,Paruva Pictures,,,
Sakuntala,P. V. Rao,"P. S. Velu Nair, M. S. Murugesan, L. Narayanarao, T. M. Ramasamy, T. S. Velammal, Santhadevi",1934,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,Pioneer Films,,,
Sangeetha Lava Kusa[3],S. Soundararajan (Tamil Nadu Talkies),"Vidvan Srinivasan, Seetha Narayanan, Lakshmi",1934,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,S. Soundararajan & Kv. Al. Rm. Alagappa Chettiar,Harikesanallur Muthiah Bhagavatar,,
Sathi Sulochana,Pammal Sambandha Mudaliar,"M. G. Nataraja Pillai, T. N. Nataraja Pillai, A. R. Sarangapani, P. Subbaya Thevar, Nagarkovil Sundarambal, T. K. Rukmani, Sulochana",1934,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,"Babulal Sowkani, Bharath Lakshmi Pictures",Janarthanam,,
Sita Kalyanam,Baburao Phendharkar,"S. Rajam, G. K. Seshagiri, S. Balachander, V. Sundaram Iyer, S. Jayalakshmi",1934,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,Prabhat Film Company,"Papanasam Sivan, A. N. Kalyanasundaram",,
Seetha Vanavaasam,,"Nott Annaji Rao, Trichur Rukmini",1934,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,"B. M. Khemka, East India Films",,,
Sri Krishnaleela,P. V. Rao,"C. S. Jayaraman, C. S. Ramanna, C. V. V Panthulu, M. S. Muthukrishnan, P. S. Sivabagyam, K. S. Rajambal",1934,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,Angel Films,,,
Srinivaasa Kalyaanam,A. Narayanan,"P. S. Srinivasa Rao, Serukulathur Sama, R. B. Lakshmi Devi, P. S. Kamalaveni",1934,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,"Srinivasa Cinetone, A. Narayanan",C. R. S. Murthy,,
Alli Arjuna,,"Abdul Khadar, K. S. Ananda Narayana Iyer, K. R. Kanthimathi Bai, T. S. Bhavani Bai, L. Narayana Rao[6]",1935,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,"A. V. Meiyappan, Saraswathi Sound Productions[5]",,,
Athiroopa Amaravathi,C. V. Raman,"Sivakozhundu, P. M. Sundara Bashyam, K. K. Thangavelu, T. S. Velammal, Ranganayaki",1935,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,Sundaram Talkies,,,
Bhakta Nandanar,Manik Lal Tandon,"K. B. Sundarambal, Maharajapuram Viswanatha Iyer",1935,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,"Kishinchand Chellaram, Hassandas Classical Talkies",,,
Baktha Ramadas,Murugadasa,"Nawab T. S. Rajamanikkam Pillai, K. Sarangapani, M. N. Nambiar, T. S. Kalyanam",1935,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,Parameswari Sound Pictures,,,
Bhaktha Dhuruvan,P .V. Rao,"C. S. Gopala Krishnan, C. S. Samanna, P. S. Sivabagyam, Sivaramalingam Pillai, S. R. Gnanakibai, C. S. Jayaraman",1935,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,Angel Films,C. S. Jayaraman,,
Chandrasaena,V. Shantaram,"Seshadri Sundarrajan, P. S. Srinivasan, K. Natarajan, T. T. Kanagam, S. Pankajam",1935,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,Prabhat Film Company,,,
Dumbachary,Manik Lal Tandon,"M. R. Krishnamoorthi, C. S. Samanna, M. S. Ragavan, P. S. Rathna Bai, P. S. Saraswathi Bai, M. S. Murugesan",1935,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,"Pioneer Film Company, Variety Hall Talkies",,,
Dhuruvaa Sarithram,,"M. S. Thangappa, V. Swaminathan, R. B. Lakshmi Devi, P. S. Gnanaambal",1935,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,"Pioneer Film Company, Variety Hall Talkies",,,
Gnanasounthari,A. Narayanan,"Srinivasa Rao, Sarojini",1935,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,Srinivasa Cinetone,,,
Gopalakrishna,,"S. Rajam, Gowri",1935,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,S. T. R. Pictures,,,
Harichandra,Prafula Ghosh,"T. P. Rajalakshmi, V. A. Chellappa, K. T. Rukumani, M. S. Ramachandran Iyer",1935,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,,,,
Kausalya,,"P. S. V. Iyer, R. Chellam",1935,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,South India Film Corporation,,,
Kulepakaavali,S. Soundararajan,"V. A. Chellappa, M. S. Ramachandran, T. P. Rajalakshmi, Rajeswari, Rani Bala",1935,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,"S. Soundararajan, Tamil Nadu Talkies",,,
Lalithangi,,"T. P. Rajalakshmi, V. A. Chellappa, T. V. Sundaram, M. S. Ramachandran Iyer, Kamala",1935,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,Royal Talkies,,,
Lanka Dhakanam,,"A. Rangasami Naidu, M. S. Gnanambal",1935,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,Chellam Talkies,,,
Maayaa Bazaar,R. Padmanaban,"Serukulathur Sama, Vidwan Seenivasan, S. G. Chellapa Iyer, M. S. Vijayal, V. Rajam, Bala Mani, Kamatchi",1935,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,,,,
Markandeya,"Murugadasa, K. Ramnoth","V. N. Sundaram, Rajapalayam Kuzhandaivelu Bhagavathar, K. B. Srinivasan, Lady Bhagavathar M. S. Kanna Bai, S. N. Kannamani",1935,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,"M. T. Rajan, Vel Pictures",,,
Menaka,P. K. Raja Sandow,"T. K. Shanmugam, T. K. Baghavathi, T. K. Sankaran, T. K. Muthurswamy, K. T. Rukmini, M. S. Vijayal, N. S. Krishnan, K. R. Ramasamy, Friend Ramasamy, T. N. Sivadhanu",1935,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,"M. Somasundaram & S. K. Mohideen, Sri Shanmuganandha Talkies (later Jupiter Pictures)",T. K. Muthuswamy,,
Mohini Rukmangadha,S. Soundararajan,"P. B. Rangachari, T. S. Krishnasamy Iyengar, Vidhwan Seenivasan, V. Nataraja Iyer, M. S. Sarojini, M. S. Vijayal, K. R. Saradhambal, D. Susheela Devi",1935,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,"S. Soundararajan, Tamil Nadu Talkies",K. V. Santhanakrishna Naidu,,
Nala Thamayanthi,Prem Chethna,"S. V. Venkatraman, Mangal Rajeshwari",1935,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,Pioneer Film Company,,,
Nalla Thangal,P. V. Rao,"M. S. Damodar Rao, C. S. Jayaraman, K. R. Kanthimathi Bai, P. S. Sivabagyam",1935,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,Angel Films,,,
Nalla Thangkaal,,,1935,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,Pioneer Film Company,,,
Naveena Sadaram,K. Subramanyam,"Vidhwan Sankaralingam, G. Pattu Iyer, S. S. Mani Bagavadhar, Kunjidha Padham, S. D. Subbulakshmi, K. K. Parvati Bai, Indubala, M. T. Rajam",1935,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,"K. Subramanyam, Madras United Artists Corporation",Papanasam Sivan,,
Pattinathar,V. S. K. Patham,"C. S. Sundara Moorthi Oduvar, K. R. Sarathambal, Kothamangalam Seenu",1935,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,Lotus Pictures,,,
Poornachandran,D. R. Doss,"T. P. Rajalakshmi, Nott Annajirao, Rangabashyam, M. Anandaraman, R. V. Lakshmi Devi, P. S. Gnanmbal, M. Radhabai",1935,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,New Theatres,"Nott Annajirao, S. G. Chellapa Iyer",,
Radha Kalyanam,C. K. Sachi (C. K. Sathasivan),"S. Rajam, M. R. Santhanalakshmi, K. D. Devudu Iyer, T. V. Krishna Moorthy",1935,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,Sri Meenakshi Cinetone,Sri Harikesanallur Muthiah Bagavadhar,,
Raja Bhoja,,"T. S. Krishnasamy Iyengar, Rajayee",1935,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,New Theatres,,,
Rajambal,A. Narayanan,"S. Rajam, P. S. Srinivasa Rao, M. N. Seenivasan, T. S. Krishnasamy Iyengar, K. N. Rajalakshmi",1935,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,Coimbatore Talkies,,,
Ratnavali,Prafulla Ghosh[7],"M. R. Krishnamoorthi, P. S. Rathna Bai, P. S. Saraswathi Bai, T. R. A. Mathuram[8]",1935,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,"A. V. Meiyappan, Saraswathi Talkie Producing Company",,,
Sarangadhara,V. S. K. Patham,"Kothamangalam Seenu, G. Seenivasan, T. M. Saradhambal",1935,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,Lotus Pictures,,,
Sathi Akalyaa,,,1935,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,Chandra Bharathi Cinetone,,,
Siruthonda Naayanaar,C. V. Raman,"T. K. Sundarappa, Sornambal",1935,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,"Radha Films, Malik Pictures Corporation",,,
Subhadra Parinayam,,"S. V. Subbaiah Bhagavathar, Bufoon Shanmugam, Karaikudi Ganesh Iyer, Kasi Viswanatha Iyer, Ramasamy Pillai, T. S. Velammal, T. K. Rukmani Ammal,",1935,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,"Pioneer Film Company, Variety Hall Talkies",,,
Thooku Thooki,R. S. Prakash,"C. V. V. Panthulu, Clown Sundaram, K. T. Rukmani, M. R. Kamalam, Devaki",1935,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,Royal Talkies,,,
Ali Badhusha,,"C. S. Selva Rathnam, Pangajam",1936,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,,,,
Baktha Kuchela,K. Subramanyam,"Papanasam Sivan, S. D. Subbulakshmi, G. Pattu Iyer, Baby R. Balasaraswathi Devi",1936,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,"K. Subramanyam, Madras United Artists Corporation",,,
Bama Parinayam,Y. V. Rao,"Serukulathur Sama, T. P. Rajalakshmi, K . Rangnayagi, Raja Thandapani",1936,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,Royal Talkies,,,
Beeshma Prathikgna,,,1936,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,,,,
Chandrahasan,Profulla Ghosh,"V. N. Sundaram, P. B. Rangachari, M. R. Santhanalakshmi, P. C. Seetharaman, C. S. Saradambal, J. Susheela Devi, M. R. Subramania Mudaliar, K. S. Subramania Iyer, S. Kalyanasundaram Iyer, D. Sundaram Iyer, Master Ramudu, Miss Rajam, P. Ramaiah Sastrigal",1936,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,,,,
Chandrakantha,P. K. Raja Sandow,"Kali N. Rathnam, P. U. Chinnappa, Aayiram Mugam S. Ramkumar, A. K. Rajalakshmi",1936,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,"M. Somasundaram & S. K. Mohideen, Jupiter Pictures",,,
Chandramohana or Samooga Thondu,Raja Chandrasekhar,"M. K. Radha, T. N. Meenakshi, S. V. Venkatraman",1936,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,,,,
Devadas Dubbed from Bengali,,,1936,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,,,,
Dhara Sasangam,A. Narayanan,,1936,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,"A. Narayanan, Sreenivasa Cinetone",,,
Dharma Pathini,,"M. S. Ramachandran Iyer, Gomathi, C. S. Samanna",1936,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,,,,
Indra Sabha,A. Narayanan,"M. Sachithanandam, J. Susheela, K. Shantha Devi, S. N. Ranga Nathan",1936,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,"A. Narayanan, Sreenivasa Cinetone",,,
Iru Sahodarargal,Ellis R. Dungan,"K. P. Kesavan, M. M. Radhabai, M. G. Ramachandran, T. S. Krishnaveni, T. S. Balaiah, P. G. Venkatesan, S. N. Kannamani, S. N. Vijayalakshmi, M. G. Chakrapani",1936,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,Parameshwar Sound Pictures,Parur S Anantharaman & Gopalaswami,,
Garuda Garvabhangam,R. Padmanaban,"M. D. Parthasarathy, M. S. Mohanambal, Serukulathur Sama, Vidwan Srinivasan, T. S. Mani, Vimala, M. D. Subramania Mudaliar.",1936,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,Oriental Films,Chidambaram Vedhanayagam Sharma,,
Kizhattu Mappillai,T. R. Raghunath,,1936,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,,,,
Krishna Arjuna,,"K. V. Srinivasa Bhaghavatar, M. V. Krishnappa, K. Pappa, K . Rangnayagi, P. Janaki Bai",1936,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,Royal Talkies,,,
Krishna Narathi,R. Prakash,"K. V. Vaithyanathan Iyer, N. M. Sundrambal, K. S. Sinivasan, K. S. Kannaya, K . Rangnayagi",1936,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,,,,
Leelavathi Sulochana,P. V. Rao,"C. S. Jayaraman, P. S. Govindan, P. S. Sivabhagyam, T. M. Saradambal, S. S. Rajagopalan, K. Mahadevan, Isakki, C. K. Selvambal, K. R. Lakshmi, T. P. Manoji Rao, T. M. Pankajam, M. S. Sundaram, C. D. Janaki",1936,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,Angel Films,,,
Madayarkalin Santhippu,,,1936,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,,,,
Madras Mail,C. M. Trivedi,"Battling Mani, T. N. Meenakshi, S. R. K. Iyengar, Chellam, S. S. Kokko, Srinivasa Iyengar",1936,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,Mohan Pictures,S. N. Ranganathan,,
Mahathma Kabeerdhas,A. Narayanan,"P. D. V. Krishna, T. S. Velammal, M. R. Raja Rathinam, A. B. Moorthi, L. V. Naidu",1936,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,Sundaram Talkies,,,
Mannarsami,,,1936,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,,,,
Manohara,,,1936,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,,,,
Meera Bai,A. Narayanan,"C. V. V. Panthulu, T.V. Rajsundari Bai, Gopal Rao, Joker Ramudu, K. S. Angamuthu, T. S. Sandhanam",1936,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,,,,
Miss Kamala,T. P. Rajalakshmi,"T. P. Rajalakshmi, T. V. Sundaram, Battling C. S. D. Singh, V. S. Mani, T. P. Rajagopal, Stunt Rajoo",1936,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,"T. P. Rajalakshmi, Sri Rajam Talkies",,,
Moondru Muttalkalin Sangeetha Koshti,Aralkar Kabuli Sahib,"P. G. Venkatesan, K. R. Saradhambal, K. T. Rukumani",1936,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,,,,
Nalayini,R. Prakash,,1936,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,"Sundaram Talkies, Oriental Films",,,
Naveena Sarangadhara,K. Subramanyam,"M. K. Thyagaraja Bhagavathar, S. D. Subbulakshmi, S. S. Mani Bhagavathar, G. Pattu Iyer, Indubala",1936,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,Murugan Talkies,Papanasam Sivan,,
Parvathi Kalyanam,B. Y. Aldekar,"P. Sreenivasa Rao, P. K. Durai Sami Desikar, S. P. L. Dhanalakshmi, T. S. Damayanthi",1936,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,,Matheri Mangalam Nadasa Iyer,,
Pathi Bakthi,B. Y. Aldekar,"K. P. Kesavan, K. K. Perumal, M. M. Radha Bai, Kali N. Rathinam, P. R. Mangalam",1936,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,,,,
Pathuga Pattabishekam,,,1936,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,"Murugadasa, K. Ramnoth & A. K. Shekar, Karthigeya Films",,,
Pattinathar,Murugadasa (Muthuswami Iyer),"M. M. Dandapani Desikar, D. R. Muthulakshmi, Jaya Lakshmi, K. T. Rukumani, V. N. Sundaram",1936,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,"M. T. Rajan, Vel Pictures",,,
Raja Desingu,Raja Chandrasekhar,"T. K. Sundarappa, V. S. Mani, M. Lakshmi, K. R. Saradambal, Rukmini Devi Arundale",1936,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,Rajeswari Talkies,M. Baluswami,,
Rukmini Kalyanam,Bhalji Pendharkar,"S. Rajam, M. S. Vijayal, Matheri Mangalam Nadasa Iyer, Sreemathi, Panchu Bhaghavatar, Kamala",1936,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,,,,
Sathi Leelavathi,Ellis R. Dungan,"M. K. Radha, M. S. Gnanambal, M. G. Ramachandran, N. S. Krishnan, T. S. Balaiah",1936,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,"Marudachalam Chettiar, Manorama Films",Sundhara Vadhyar,,
Sathyaseelan,B. Sampathkumar,"M. K. Thyagaraja Bhagavathar, M. S. Devasena, M. P. Mohan, G. Padmavathi Bai, T. V. Kanthimathi Bai, N. S. Krishnan, T. A. Madhuram",1936,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,"M. K. Thyagaraja Bhagavathar, Trichy Thyagaraja Films",Papanasam Sivan,,
Seemanthini,Ellis R. Dungan,"T. P. Rajalakshmi, M. R. Krishnamoorthi, T. P. Rajagopal, M. S. Ramachandra Iyer, M. D. Rajam, Parvathi, K. T. Rukmani Miss. Pattu, T. V. Sundaram, Chinnasama Iyer, Natesa Sastri, Kulathu Mani, Krishna Iyer, Sivarama Iyer, Kalyanam, Seenivasa Rao",1936,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,National Movie Tone,Thiruchi T. V. Nataraja Chariyar,,
Srimath Mahabaratham,,,1936,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,"S. Soundararajan, Tamil Nadu Talkies",,,
Srimathi Parinayam,,,1936,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,,,,
Usha Kalyanam,K. Subramanyam,"M. V. Krishnappa, S. D. Subbulakshmi, C. V. V. Panthulu, G. Pattu Iyer, V. Govindasami, M. S. Pattammal, J. M. Sundaram, S. S. Padmavathi, S. S. Rajamani, K. E. Madhava Iyer, S. Gomathi Bai",1936,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,Murugan Talkie,,,
Vasantha Sena,P. K. Raja Sandow,"V. A. Chellappa, S. P. L. Dhanalakshmi, M. S. Vijayal, N. S. Krishnan, T. A. Madhuram, P. K. Raja Sandow",1936,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,,,,
Veera Abimanyu,Profulla Ghosh,"M. R. Krishnamoorthi, T. P. Rajalakshmi, C. S. Mana Singh",1936,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,Nagatha,,,
Viswamithira,A. Narayanan,"M. K. Gopala Iyengar, Rajasundari, T. Duraisami Iyer",1936,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,"A. Narayanan, Sreenivasa Cinetone",,,
Aandal Thirukkalyanam,,,1937,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,,,,
Ambikapathy,Ellis R. Dungan,"M. K. Thyagaraja Bhagavathar, M. R. Santhanalakshmi, Serukulathur Sama, T. S. Balaiah, N. S. Krishnan, T. A. Madhuram, P. G. Venkatesan, P. B. Ranagachari, P. R. Mangalam, S. S. Raja Mani",1937,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,"M. S. Thottana Chettiar, Salem Shankar Films",Papanasam Sivan & K. C. Dey,,
Arunagirinathar,,,1937,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,,,,
Baktha Arunagiri,S. D. S Yogiyar,Thevaram C. Sangkaralingam,1937,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,"S. S. S. Chokkalingam, Mayuraa Films",,,
Baktha Jeyadev,,,1937,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,,,,
Baktha Purantharadoss[11],,"G. Krishnarama Bhagavathar, Tripuramba",1937,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,Devi Films,Bellave Narahari Shastri,,
Baktha Thulasidas,Raja Chandrasekar,"M. K. Radha, K. B. Sabitha Devi, N. S. Krishnan, T. A. Madhuram, Chellam, T. E. Krishnamachari, Buffoon Sankara Iyer, Angamuthu.",1937,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,Murugan Talkies,Music: D. K. Jayarama Iyer Lyrics: Mayavaram Thiyagaraja Mudhaliyar,,
Balamani,T. V. Rao,,1937,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,,,,
Balayogini,K. Subramanyam,"K. R. Chellam, Baby Saroja, C. V. V. Panthulu, Bharathan, K. B. Vatsal (K. Viswanathan), Baby R. Balasaraswathi Devi, Baby Rukmini, Salem Sundaram",1937,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,"K. Subramanyam, Madras United Artists Corporation",Moti Babu & Maruti Seetharammaiah,,
