alias,canonical
Vishnuvardhan,Vishnuvardhan
wamiqa,Wamiqa Gabbi
yash boss,Yash
kgf star,Yash
rocking star,Yash
a a somayajulu,a a somayajulu
a b moorthi,a b moorthi
a c mohan,a c mohan
a c ramanathan,a c ramanathan
a dhanapal chettiar,a dhanapal chettiar
a govindan,a govindan
c k kamalam,a k kamalam
a k kamalam,a k kamalam
a k mohan,a k mohan
a k pavalar,a k pavalar
a k rajalakshmi,a k rajalakshmi
a k rajendran,a k rajendran
a k srinivasan,a k srinivasan
a k veerasamy,a k veerasamy
a kamala devi etc,a kamala devi etc
a karunanidhi,a karunanidhi
a krishnan,a krishnan
a krishna,a krishnan
a l a naidu,a l a naidu
a l raghavan,a l raghavan
a m rajah,a m rajah
a mahadeviah,a mahadeviah
a p nagarajan,a p nagarajan
a padma,a padma
a prakasa rao,a prakasa rao
a r kamaraj,a r kamaraj
a r ramesh,a r ramesh
a r rohit,a r rohit
a r sakunthala,a r sakunthala
n r sakunthala,a r sakunthala
a sakunthala,a r sakunthala
a r sarangapani,a r sarangapani
a r venkatesh,a r venkatesh
a venkatesh,a r venkatesh
a radhakrishna,a radhakrishna
a ramarao,a rama rao
p rama rao,a rama rao
a rama rao,a rama rao
a rangasami naidu,a rangasami naidu
a revathi,a revathi
a s giri,a s giri
a s murthy,a s murthy
a s rajendra,a s rajendra
a s sankaran,a s sankaran
a subramani,a subramani
a v anoop,a v anoop
a v m rajan,a v m rajan
a v p menon,a v p menon
a v prabhakar,a v prabhakar
a v ramanan,a v ramanan
a v subba rao,a v subba rao
k v subba rao,a v subba rao
d v subba rao,a v subba rao
a veerappan,a veerappan
venkatesh,a venkatesh
venkitesh,a venkitesh
a venkitesh,a venkitesh
adarsha,aadarsh
adarsh,aadarsh
aadarsh balakrishna,aadarsh balakrishna
adarsh balakrishna,aadarsh balakrishna
aadesh bala,aadesh bala
adesh bala,aadesh bala
aadham hasan,aadham hasan
aadarsh,aadharsh
aadharsh,aadharsh
aadhav balaji,aadhav balaji
aadhav kannadasan,aadhav kannadasan
aadhavan,aadhavan
aadhi,aadhi
adhi lokesh,aadhi lokesh
aadhi lokesh,aadhi lokesh
adi lokesh,aadhi lokesh
